6b0000Z20202,Z202,SEQ,三亚,BXP,北京西,GZQ,广州,BXP,北京西,08:50,06:40,1,,21:50,Y,1310,10251031854075000000102510022161383000043042600025,20161229,20161112,W343136333,1040106030,3,14163,Q6,09,16,59,1100,0,0,正常车次，不受控
6c00000G6604,G66,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,10:00,18:00,0,,08:00,Y,480,O086200511M1380000929272400024,20161229,20161113,O3M393,O0M090,3,OM9,Q9,01,06,59,1300,1,0,正常车次，不受控
6c00000G6809,G68,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,11:15,20:56,0,,09:41,Y,581,O086200451M1380001129272400022,20161229,20161113,O3M393,O0M090,3,OM9,Q7,01,16,59,1300,1,0,正常车次，不受控
6i00000G8007,G80,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,12:11,21:46,0,,09:35,Y,575,O0862000299272400002M138000062O086203000,20161229,20161113,O393W3M3,O090M0O0,3,O9MO,Q7,03,19,59,1300,1,0,正常车次，不受控
6c00000G7008,G70,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,12:50,22:27,0,,09:37,Y,577,O086200644M1380000899272400024,20161229,20161113,O3M393,O0M090,3,OM9,Q7,01,16,59,1300,1,0,正常车次，不受控
630000K6000D,K600,GZQ,广州,BTC,包头,GZQ,广州,BXP,北京西,15:02,21:00,1,,29:58,Y,1798,1025103328407500001210251003913042600178,20161229,20161113,W3431333,10401030,3,1413,Q6,01,29,59,1100,0,0,正常车次，不受控
6300000Z3600,Z36,GZQ,广州,BXP,北京西,GZQ,广州,BXP,北京西,16:25,13:44,1,,21:19,Y,1279,10251031864075000001613830001410251003333042600183,20161229,20161113,W343631333,1040601030,3,14613,Q9,01,07,59,1100,0,0,正常车次，不受控
6500000Z9801,Z98,JQO,九龙,BXP,北京西,GGQ,广州东,BXP,北京西,18:06,15:30,1,,21:24,Y,1284,1025103130407500002010251001673042600014,20161229,20161113,W3431333,10401030,3,1413,Q9,02,06,59,1130,0,0,正常车次，不受控
6e0000D92404,D924,ZHQ,珠海,BXP,北京西,IZQ,广州南,BXP,北京西,20:10,06:51,1,动车,10:41,Y,641,F099900032O070900000,20991231,20161113,O3F3,F0O0,3,FO,Q7,02,06,29,1400,1,0,正常车次，不受控
6i0000D9020C,D902,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:15,06:56,1,动车,10:41,Y,641,O070900000F099900036,20991231,20161113,F3O3,O0F0,3,OF,Q6,02,05,29,0900,1,0,正常车次，不受控
6i0000D9040C,D904,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:20,07:01,1,动车,10:41,Y,641,O070900000F099900034,20991231,20161113,F3O3,O0F0,3,OF,Q9,02,06,29,0900,1,0,正常车次，不受控
6i0000D91008,D910,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:25,07:13,1,动车,10:48,Y,648,O070900000F099900040,20991231,20161113,F3O3,O0F0,3,OF,Q7,02,07,29,0900,1,0,正常车次，不受控
6i0000D92808,D928,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:30,07:18,1,动车,10:48,Y,648,O070900000F099900036,20991231,20161113,F3O3,O0F0,3,OF,Q7,02,07,29,0900,1,0,正常车次，不受控
